Time,ParameterName,ParameterValue
2020-02-01T00:00:00Z,TA_PT1H_AVG,-3.9
2020-02-01T00:00:00Z,TA_PT1H_MAX,-3.8
2020-02-01T00:00:00Z,TA_PT1H_MIN,-4.1
2020-02-01T00:00:00Z,RH_PT1H_AVG,94.0
2020-02-01T00:00:00Z,WS_PT1H_AVG,3.7
2020-02-01T00:00:00Z,WS_PT1H_MAX,4.1
2020-02-01T00:00:00Z,WS_PT1H_MIN,3.2
2020-02-01T00:00:00Z,WD_PT1H_AVG,115.0
2020-02-01T00:00:00Z,PRA_PT1H_ACC,NaN
2020-02-01T00:00:00Z,PRI_PT1H_MAX,NaN
2020-02-01T00:00:00Z,PA_PT1H_AVG,999.9
2020-02-01T00:00:00Z,WAWA_PT1H_RANK,NaN
2020-02-01T01:00:00Z,TA_PT1H_AVG,-3.7
2020-02-01T01:00:00Z,TA_PT1H_MAX,PGP_B64:hQGMA6OwG/187H5sAQwAqjRTf/ecNgFbHjaLK5OUzjTNYQyQJ9Z9dga3zl8DZa+/s7yV+bnw6xwOo9YJ1Zmwd8CfrGmb9YxloE0oAtgb6ukgNbJpJCpBiMV3LlJSKp8u2k/jlHco+5E51Xk06SYvZp0PuZ87Rt9mIfAWjAsI334fg//JG0dzXHVNZigUxJu6rcsRdhbgqTp8k81PybIU2bsk6B+ofbK0Uo6jjW7rV4NEQOBplfVMjpubj1GWjTt3t0PJUXhLe9OWFbsju+pXfHvC2+EK4eOeVGpTV57P+KP1nunmykBudDrK8fklJfQaIiIcCIApbuZxdF5AhN2Y1aJ6F3byyFJxWINvDRC0+efWt08ku/VNBgGwXhjPHrihNxQozd1emyJHvWdxuUlwv7g/XpLuAq10opJYk1J0SfmZ5zXVxKcwkDlXe+4LPlBZMsiu7MnP35A9xqtTDQuGpnvLw2kj/rgGf7bGGNcn3mX25Io5uyKusNkCFs9Lsw1FUpYkFKaf0vZibT5Zx9Da0j8Bt/GAZFjRUbuyE5Xod9gd/5vVl5C0z9kCz+KKNEyx0x3PD+9ypKgAnwQw1dHrB0wJUdDQExr8spmeolVJuTY=
2020-02-01T01:00:00Z,TA_PT1H_MIN,-3.8
2020-02-01T01:00:00Z,RH_PT1H_AVG,94.0
2020-02-01T01:00:00Z,WS_PT1H_AVG,4.2
2020-02-01T01:00:00Z,WS_PT1H_MAX,4.6
2020-02-01T01:00:00Z,WS_PT1H_MIN,3.8
2020-02-01T01:00:00Z,WD_PT1H_AVG,124.0
2020-02-01T01:00:00Z,PRA_PT1H_ACC,NaN
2020-02-01T01:00:00Z,PRI_PT1H_MAX,NaN
2020-02-01T01:00:00Z,PA_PT1H_AVG,999.5
2020-02-01T01:00:00Z,WAWA_PT1H_RANK,NaN
2020-02-01T02:00:00Z,TA_PT1H_AVG,-3.5
